Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
7 Hours to Go,2016.0,115.0,"Crime, Thriller",5.7,398.0,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
7 Islands and a Metro,2006.0,100.0,Documentary,6.2,10.0,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash
7 Saal Baad,1987.0,127.0,"Drama, Horror, Musical",4.1,34.0,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
706,2019.0,120.0,Thriller,5.3,449.0,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta
72 Hours: Martyr Who Never Died,2019.0,130.0,"Action, Biography, Drama",5.3,249.0,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
8119 Miles,2021.0,115.0,"Adventure, Drama, Mystery",6.6,21.0,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
88 Antop Hill,2003.0,119.0,"Mystery, Thriller",4.7,66.0,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai
9 O' Clock,2017.0,124.0,Action,5.3,9.0,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat
99.9 FM,2005.0,90.0,"Crime, Drama",4.8,38.0,Sanjay Bhatia,Shawar Ali,Rajkumar Kanojia,Jai Nagra
A Billion Colour Story,2016.0,105.0,Drama,8.1,412.0,Padmakumar Narasimhamurthy,Dhruva Padmakumar,Gaurav Sharma,Vasuki
A Daughter's Tale PANKH,2017.0,145.0,Drama,6.3,10.0,Premraaj,Rajinder Verma,Sunil Lahri,Nishigandha Wad
A Far Afternoon: a Painted Saga by Krishen Khanna,2015.0,72.0,"Documentary, Biography",7.7,10.0,Sruti Harihara Subramanian,,,
A Film by Aravind,2005.0,150.0,"Horror, Mystery",6.8,179.0,Sekhar Suri,Sherlyn Chopra,Rajeev Kanakala,Richard Rishi
A Flat,2010.0,103.0,"Drama, Horror, Romance",4.5,202.0,Hemant Madhukar,Jimmy Sheirgill,Sanjay Suri,Hazel Croney
A Game Called Relationship,2020.0,109.0,"Comedy, Romance",6.3,181.0,Vivek Sharma,Mandy Takhar,Vivek Sharma,Sumit Suri
A Gift of Love: Sifar,2019.0,95.0,"Drama, Romance",8.0,33.0,Dhruv Sachdev,Sanjay Deyali,Sudha Chandran,Anang Desai
A Journey of Samyak Buddha,2013.0,127.0,Drama,7.3,17.0,Praveen Damle,Geeta Agrawal,Jyoti Bagat,Gautam Dhengare
A Mermaid Called Aida,1996.0,52.0,Documentary,6.4,7.0,Riyad Vinci Wadia,Aida Banaji,Ajay Mehta,
A New Love Ishtory,2013.0,140.0,Romance,6.0,80.0,John Mathew Matthan,Raqesh Bapat,Gurpreet Kaur Chadha,Smita Jaykar
A Rifle and a Bag,2020.0,89.0,Documentary,6.8,15.0,Cristina Hanes,Isabella Rinaldi,Arya Rothe,
A Scandall,2016.0,112.0,Thriller,3.1,142.0,Ishaan Trivedi,Johnny Baweja,Reeth Mazumder-Roberts,Manav Kaul
A Sublime Love Story: Barsaat,2005.0,143.0,"Drama, Romance",3.8,627.0,Suneel Darshan,Bobby Deol,Bipasha Basu,Priyanka Chopra Jonas
A Suitable Girl,2017.0,90.0,Documentary,6.9,337.0,Sarita Khurana,Smriti Mundhra,Sima Taparia,
A Thin Line,2019.0,104.0,Drama,7.9,24.0,Vierendrra Lalit,Trivikram Mattoo,Rahul Roy,Akansha Shivhare
AA BB KK,2018.0,121.0,Drama,8.0,249.0,Ramkumar Shedge,Shravani Abhang,Sajid Ali,Tamannaah Bhatia
Aa Dekhen Zara,2009.0,117.0,"Action, Sci-Fi, Thriller",5.0,866.0,Jehangir Surti,Neil Nitin Mukesh,Bipasha Basu,Sophiya Chaudhary
Aa Gale Lag Jaa,1973.0,148.0,"Action, Drama, Romance",7.2,348.0,Manmohan Desai,Shashi Kapoor,Sharmila Tagore,Shatrughan Sinha
Aa Gale Lag Jaa,1994.0,158.0,"Mystery, Romance",4.4,115.0,Hamid Ali Khan,Jugal Hansraj,Urmila Matondkar,Paresh Rawal
Aa Gaya Hero,2017.0,123.0,Action,2.7,339.0,Dipankar Senapati,Govinda,Richa Sharma,Poonam Pandey
Aa Jao Please,2016.0,120.0,Drama,6.8,16.0,Azad Jain,Neha Chauhan,Ganraj Jadhav,Dipak Khetiya
Aabra Ka Daabra,2004.0,144.0,Fantasy,2.4,264.0,Dheeraj Kumar,Naveen Bawa,Prabhu Deva,Satish Kaushik
Aabroo,1968.0,170.0,"Comedy, Crime, Drama",5.5,21.0,C.L. Rawal,Ashok Kumar,Vimi,Rehman
Aadamkhor,2018.0,72.0,Horror,7.4,150.0,Kshitij Sharma,Deeya Dey,Anoma Pabuwal,Mahendra Singh Rawat
Aadat Se Majboor,1982.0,105.0,"Action, Crime, Drama",5.5,28.0,Ambrish Sangal,Mithun Chakraborty,Rameshwari,Madan Puri
Aadha Din Aadhee Raat,1977.0,132.0,Action,5.1,18.0,Doondi,Jalal Agha,Vinod Khanna,Shabana Azmi
Aadhaar,2019.0,107.0,Drama,7.6,69.0,Suman Ghosh,Vineet Kumar Singh,Saurabh Shukla,Raghuvir Yadav
Aadharshila,1982.0,154.0,Drama,6.4,19.0,Ashok Ahuja,Dolly Ahluwalia,Raja Bundela,Neena Gupta
Aadhi Bhagavan,2013.0,157.0,"Action, Crime, Thriller",5.4,568.0,Ameer Sultan,Jayam Ravi,Neetu Chandra,Sudha Chandran
Aadhi Raat,1950.0,115.0,"Drama, Romance",6.7,9.0,S.K. Ojha,Cuckoo,Jeevan,Kuldip Kaur
Aadmi,1968.0,175.0,"Drama, Romance",6.8,196.0,A. Bhimsingh,Dilip Kumar,Waheeda Rehman,Manoj Kumar
Aadmi,1993.0,153.0,"Action, Crime, Drama",6.5,97.0,Arshad Khan,Ajit,Vikas Anand,Arjun
Aadmi Aur Apsara,1991.0,142.0,Fantasy,6.7,66.0,J. Om Prakash,K. Raghavendra Rao,Chiranjeevi,Amrish Puri
Aadmi Aur Insaan,1969.0,168.0,"Drama, Romance, Thriller",6.2,149.0,Yash Chopra,Dharmendra,Saira Banu,Feroz Khan
Aadmi Khilona Hai,1993.0,158.0,"Drama, Romance",5.0,142.0,J. Om Prakash,Jeetendra,Reena Roy,Govinda
Aadmi Ki Aurat Aur Anya Kahaniya,2009.0,78.0,Drama,7.6,62.0,Amit Dutta,Ashok Chaudhary,Bramhaswaroop Mishra,Gagan Singh Sethi
Aadmi Sadak Ka,1977.0,138.0,"Drama, Family",5.4,34.0,Devendra Goel,Shatrughan Sinha,Vikram Makandar,Zaheera
Aadupuliyattam,2016.0,145.0,Horror,4.2,266.0,Kannan Thamarakkulam,Jayaram,Ramya Krishnan,Om Puri
Aafat,1977.0,148.0,"Crime, Drama",5.3,17.0,Atma Ram,Navin Nischol,Leena Chandavarkar,Jayshree T.
Aag,1948.0,138.0,"Musical, Romance",7.4,357.0,Raj Kapoor,Nargis,Kamini Kaushal,Nigar Sultana
Aag,1994.0,139.0,"Action, Comedy, Drama",4.6,227.0,K. Ravi Shankar,Govinda,Shilpa Shetty Kundra,Sonali Bendre
Aag Aur Chingari,1994.0,133.0,Action,4.1,13.0,Kanti Shah,Alpana,Aparajita,Asrani
Aag Hi Aag,1987.0,170.0,Action,5.3,93.0,Shibu Mitra,Dharmendra,Shatrughan Sinha,Moushumi Chatterjee
Aag Ka Gola,1990.0,180.0,"Action, Drama",4.8,101.0,David Dhawan,Sunny Deol,Dimple Kapadia,Archana Puran Singh
Aag Ka Toofaan,1993.0,137.0,Action,4.8,21.0,Kanti Shah,Dharmendra,Sadashiv Amrapurkar,Asrani
Aag Ke Sholay,1988.0,138.0,"Action, Thriller",3.4,7.0,S.R. Pratap,Bipasha,Hemant Birje,Sudhir Dalvi
Aag Se Khelenge,1989.0,151.0,Action,5.0,52.0,Subhash Ghai,Bhaskar Shetty,Jeetendra,Anil Kapoor
Aage Maut Peeche Maut,2001.0,78.0,Horror,3.1,7.0,A.T. Joy,Lekha Pande,Vimal Raj,Shakila
Aagey Se Right,2009.0,117.0,"Comedy, Crime, Drama",5.0,381.0,Indrajit Nattoji,Shreyas Talpade,Mahie Gill,Karan Veer Mehra
Aaghaaz,2000.0,153.0,"Action, Crime, Drama",4.2,274.0,Yogesh Ishwar,Sunil Shetty,Sushmita Sen,Namrata Shirodkar
Aah,1953.0,150.0,"Drama, Musical, Romance",7.2,275.0,Raja Nawathe,Nargis,Raj Kapoor,Vijayalaxmi
Aahuti,1978.0,135.0,"Action, Drama",6.0,25.0,Ashok V. Bhushan,Rajendra Kumar,Shashi Kapoor,Rakesh Roshan
Aaina,1993.0,149.0,"Drama, Romance",6.0,448.0,Deepak Sareen,Jackie Shroff,Juhi Chawla,Amrita Singh
Aaina,1977.0,150.0,Drama,6.8,94.0,K. Balachander,Mumtaz,Rajesh Khanna,A.K. Hangal
Aaj,1987.0,116.0,Drama,5.5,281.0,Mahesh Bhatt,Raj Babbar,Smita Patil,Raj Kiran
Aaj Aur Kal,1963.0,144.0,"Drama, Romance",5.6,52.0,Vasant Joglekar,Ashok Kumar,Sunil Dutt,Nanda
Aaj Ka Andha Kanoon,2003.0,46.0,Action,3.1,15.0,Amit Chandra Sahay,Sudesh Berry,Priyanka Upendra,Aman Jalali
Aaj Ka Arjun,1990.0,164.0,"Action, Crime, Drama",4.7,586.0,K.C. Bokadia,Amitabh Bachchan,Jaya Prada,Radhika Sarathkumar
Aaj Ka Daur,1985.0,153.0,"Action, Drama",5.1,40.0,K. Bapaiah,Jackie Shroff,Padmini Kolhapure,Nirupa Roy
Aaj Ka Goonda Raaj,1992.0,147.0,"Action, Thriller",5.3,144.0,Ravi Raja Pinisetty,Chiranjeevi,Meenakshi Sheshadri,Raj Babbar
Aaj Ka Mahaatma,1976.0,170.0,"Action, Romance",3.5,23.0,Kundan Kumar,Randhir Kapoor,Rekha,Ranjeet
Aaj Ka Ravan,2000.0,128.0,"Action, Crime",4.3,31.0,Kasam Ali,Mithun Chakraborty,Gajendra Chauhan,Siddharth Dhawan
Aaj Ka Samson,1991.0,123.0,"Action, Romance",3.1,14.0,Kukoo Kapoor,Hemant Birje,Sahila Chaddha,Goga Kapoor
Aaj Kaa M.L.A. Ram Avtar,1984.0,157.0,"Action, Drama",5.8,65.0,Narayana Rao Dasari,Rajesh Khanna,Shabana Azmi,Deven Verma
Aaj Ke Angaarey,1988.0,128.0,"Action, Drama",5.0,26.0,Babbar Subhash,Vinod K. Verma,Hemant Birje,Archana Puran Singh
Aaj Ke Shahenshah,1990.0,132.0,Action,3.3,15.0,Shibu Mitra,Jeetendra,Raj Babbar,Chunky Panday
Aaj Ki Awaz,1984.0,137.0,"Action, Drama, Crime",5.6,79.0,Ravi Chopra,Raj Babbar,Smita Patil,Rashmi Chauhan
Aaja Meri Jaan,1993.0,162.0,Romance,4.4,30.0,Ketan Anand,Krishan Kumar,Tanya Singh,Shammi Kapoor
Aaja Sanam,1968.0,121.0,"Drama, Romance",6.7,14.0,Yusuf Naqvi,Feroz Khan,Tanuja,Deven Verma
Aakhri Adaalat,1988.0,148.0,"Action, Thriller",5.2,78.0,Rajiv Mehra,Vinod Khanna,Dimple Kapadia,Jackie Shroff
Aakhri Baazi,1989.0,149.0,"Action, Drama, Family",4.1,53.0,Ashim S. Samanta,Shatrughan Sinha,Moushumi Chatterjee,Govinda
Aakhri Badla,1989.0,120.0,"Action, Crime, Drama",5.0,21.0,Mangal Chakravarty,Tom Alter,Yogeeta Bali,Abhi Bhattacharya
Aakhri Ghulam,1989.0,171.0,"Action, Crime, Drama",4.9,34.0,Shibu Mitra,Mithun Chakraborty,Sonam,Anupam Kher
Aakhri Kasam,1979.0,126.0,"Action, Thriller",6.3,7.0,Dinesh-Ramanesh,Ramesh Puri,Vinod Mehra,Yogeeta Bali
Aakhri Khat,1966.0,153.0,Drama,6.9,122.0,Chetan Anand,Rajesh Khanna,Indrani Mukherjee,Master Bunty
Aakhri Sangam,1990.0,160.0,"Action, Romance",7.3,39.0,N.K. Vishwanathan,Nassar,Nirosha,Aurn Pandian
Aakhri Sanghursh,1997.0,138.0,Action,2.8,17.0,Narendra Bedi,Vijayendra Ghatge,Kaajal Kiran,Mukesh Khanna
Aakraman,1975.0,139.0,"Drama, History, Romance",6.3,44.0,J. Om Prakash,Ashok Kumar,Sanjeev Kumar,Rakesh Roshan
Aakrosh,1980.0,144.0,"Crime, Drama, Music",7.9,887.0,Govind Nihalani,Naseeruddin Shah,Smita Patil,Amrish Puri
Aalaap,2012.0,116.0,Sci-Fi,5.4,26.0,Manish Manikpuri,Omkar Das Manikpuri,Pitobash,Amit Purohit
Aalwar,2007.0,152.0,Action,3.0,922.0,Chella,Ajith Kumar,Asin Thottumkal,Vivek
Aamaar Bhuvan,2018.0,107.0,"Drama, Family",7.7,72.0,Mrinal Sen,Saswata Chatterjee,Nandita Das,Koushik Sen
Aamne - Saamne,1967.0,163.0,"Crime, Mystery, Romance",6.5,81.0,Suraj Prakash,Shashi Kapoor,Sharmila Tagore,Prem Chopra
Aamne Samne,1982.0,143.0,"Action, Crime, Drama",6.4,53.0,Ashim S. Samanta,Mithun Chakraborty,Bindiya Goswami,Arti Gupta
Aan Aur Shaan,1984.0,130.0,Drama,6.4,37.0,Ravi Tandon,Rishi Kapoor,Moushumi Chatterjee,Shammi Kapoor
Aan Milo Sajna,1970.0,177.0,"Drama, Musical, Romance",6.4,211.0,Mukul Dutt,Rajesh Khanna,Asha Parekh,Vinod Khanna
Aanch,2003.0,160.0,Drama,5.6,102.0,Rajesh Ram Singh,Arun Bakshi,Suchindra Bali,Poonam Jhawer
Aanchal,1980.0,138.0,"Action, Drama, Family",6.4,58.0,Anil Ganguly,Rajesh Khanna,Rakhee Gulzar,Rekha
Aandhi-Toofan,1985.0,144.0,Drama,6.1,49.0,Babbar Subhash,Shashi Kapoor,Hema Malini,Danny Denzongpa
Aandhiyan,1952.0,136.0,Drama,7.4,30.0,Chetan Anand,Dev Anand,Nimmi,Kalpana Kartik
Aandhiyan,1990.0,145.0,Drama,4.8,38.0,David Dhawan,Mumtaz,Prasenjit Chatterjee,Madhushree
Aani Maani,2019.0,94.0,Drama,6.6,15.0,Fahim Irshad,Farrukh Seyer,Priyanka Verma,Neha Singh
Aankhon Aankhon Mein,1972.0,154.0,"Drama, Romance",6.4,28.0,Raghunath Jhalani,Rakhee Gulzar,Rakesh Roshan,Achala Sachdev
Aansoo Aur Muskan,1970.0,150.0,"Comedy, Drama, Family",6.5,24.0,P. Madhavan,Hema Malini,Parikshit Sahni,Jagdeep
Aao Pyaar Karen,1994.0,141.0,Romance,4.2,160.0,Ravindra Peepat,Saif Ali Khan,Shilpa Shetty Kundra,Somy Ali
Aao Wish Karein,2009.0,140.0,"Comedy, Family, Fantasy",5.1,584.0,Glen Barreto,Aftab Shivdasani,Aamna Sharif,Rati Agnihotri
Aap Aye Bahaar Ayee,1971.0,119.0,"Comedy, Drama, Romance",6.6,80.0,Mohan Kumar,Rajendra Kumar,Sadhana,Prem Chopra
Aap Beati,1976.0,145.0,"Drama, Family",5.7,32.0,Mohan Kumar,Shashi Kapoor,Hema Malini,Ashok Kumar
Aap Ki Kasam,1974.0,153.0,"Romance, Drama",7.0,420.0,J. Om Prakash,Rajesh Khanna,Mumtaz,Sanjeev Kumar
Aap Ki Khatir,1977.0,115.0,"Action, Comedy, Drama",6.3,27.0,Sudhendu Roy,Vinod Khanna,Rekha,Nadira
Aap Ki Khatir,2006.0,122.0,"Comedy, Romance",3.6,863.0,Dharmesh Darshan,Akshaye Khanna,Priyanka Chopra Jonas,Ameesha Patel
Aap Ki Parchhaiyan,1964.0,128.0,"Drama, Family, Romance",6.3,39.0,Mohan Kumar,Dharmendra,Supriya Choudhury,Vijayalaxmi
Aap To Aise Na The,1980.0,145.0,"Romance, Drama, Family",5.6,38.0,Ambrish Sangal,Raj Babbar,Ranjeeta Kaur,Deepak Parashar
Aapas Ki Baat,1981.0,148.0,"Action, Romance",5.2,17.0,Harmesh Malhotra,Poonam Dhillon,Raj Babbar,Shakti Kapoor
Aapko Pehle Bhi Kahin Dekha Hai,2003.0,145.0,"Action, Comedy, Drama",4.5,273.0,Anubhav Sinha,Priyanshu Chatterjee,Sakshi Shivanand,Farida Jalal
Aar Paar,1985.0,125.0,Action,6.1,44.0,Shakti Samanta,Mithun Chakraborty,Rozina,Utpal Dutt
Aar Ya Paar,1997.0,180.0,Thriller,6.1,230.0,Ketan Mehta,Jackie Shroff,Deepa Sahi,Ritu Shivpuri
Aaravalli,1957.0,210.0,Horror,5.9,7.0,Varalakshmi G.,,,
Aarop,1974.0,129.0,Drama,6.7,13.0,Atma Ram,Vinod Khanna,Saira Banu,Vinod Mehra
Aar-Paar,1954.0,146.0,"Musical, Romance, Thriller",6.6,250.0,Guru Dutt,Shyama,Guru Dutt,Jagdish Sethi
Aarti,1962.0,156.0,"Family, Musical, Romance",6.6,67.0,Phani Majumdar,Ashok Kumar,Meena Kumari,Pradeep Kumar
Aarya,2007.0,157.0,"Action, Drama, Romance",4.6,191.0,Balasekaran,Bhavana,Madhavan,Prakash Raj
Aasha,1957.0,171.0,"Comedy, Romance",6.5,23.0,M.V. Raman,Vyjayanthimala,Kishore Kumar,Pran
Aasha,1980.0,123.0,"Drama, Musical, Romance",5.3,199.0,J. Om Prakash,Jeetendra,Reena Roy,Rameshwari
Aashiq,1962.0,150.0,Romance,6.7,64.0,Hrishikesh Mukherjee,Raj Kapoor,Padmini,Nanda
Aashiq,2001.0,160.0,"Action, Drama, Romance",3.8,403.0,Indra Kumar,Bobby Deol,Karisma Kapoor,Rahul Dev
Aashiq Hoon Baharon Ka,1977.0,136.0,Romance,5.5,85.0,J. Om Prakash,Rajesh Khanna,Zeenat Aman,Danny Denzongpa
Aashiqui.In,2011.0,109.0,"Drama, Romance",3.7,61.0,Shankhadeep,Shubhi Ahuja,Amit Dhamija,Preeti Gandwani
Aashirwad,1968.0,146.0,Drama,7.3,203.0,Hrishikesh Mukherjee,Ashok Kumar,Sanjeev Kumar,Sumita Sanyal
Aashmani Jawaharat,2014.0,132.0,Drama,6.1,10.0,Sriparna Dey,Anamitra Roy,Anamitra Roy,Yovik
Aasma,2018.0,105.0,"Action, Crime, Drama",5.2,8.0,Sudipto Sen,Subrat Dutta,Ameet Gaurr,Sunny Hinduja
Aasma: The Sky Is the Limit,2009.0,240.0,Drama,3.8,46.0,Rohit Krishnakant Nayyar,Hrishitaa Bhatt,Seema Biswas,Nauheed Cyrusi
Aasmaan,1984.0,145.0,"Drama, Mystery",4.8,12.0,Tony Juneja,Rajiv Kapoor,Divya Rana,Tina Ambani
Aasmaan Mahal,1965.0,172.0,Drama,5.5,6.0,Khwaja Ahmad Abbas,Prithviraj Kapoor,Dilip Roy,Surekha
Aasmaan Se Gira,1992.0,88.0,"Adventure, Comedy, Romance",6.8,56.0,Pankaj Parashar,Abhishek Chitlangia,Raghuvir Yadav,Anupam Kher
Aasoo Bane Angaarey,1993.0,150.0,Action,4.5,88.0,Mehul Kumar,Jeetendra,Madhuri Dixit,Kiran Kumar
Aasra,1966.0,161.0,"Drama, Family",7.2,32.0,Satyen Bose,Mala Sinha,Biswajit Chatterjee,Balraj Sahni
Aastha: In the Prison of Spring,1997.0,132.0,Drama,6.4,172.0,Basu Bhattacharya,Rekha,Om Puri,Dinesh Thakur
Aatank,1996.0,113.0,"Action, Thriller",3.9,99.0,Prem Lalwani,Desh Mukherjee,Nafisa Ali,Dharmendra
Aatank Hi Aatank,1995.0,155.0,"Action, Crime, Drama",5.2,776.0,Dilip Shankar,Rajinikanth,Aamir Khan,Juhi Chawla
Aatish,1979.0,139.0,Action,4.5,16.0,Ambrish Sangal,Jeetendra,Neetu Singh,Dheeraj Kumar
Aatish: Feel the Fire,1994.0,155.0,"Action, Crime, Drama",5.8,735.0,Sanjay Gupta,Sanjay Dutt,Aditya Pancholi,Raveena Tandon
Aatma,2006.0,107.0,"Crime, Drama, Horror",4.2,79.0,Deepak Ramsay,Kapil Jhaveri,Shabana Raza,Vikram Singh
Aatma,2013.0,100.0,"Drama, Horror, Thriller",3.8,623.0,Suparn Varma,Jaideep Ahlawat,Bipasha Basu,Padam Bhola
Aavida Maa Aavide,1998.0,153.0,"Comedy, Romance",6.4,170.0,E.V.V. Satyanarayana,Nagarjuna Akkineni,Tabu,Heera Rajgopal
Aavishkar,1974.0,107.0,"Drama, Romance",7.0,213.0,Basu Bhattacharya,Rajesh Khanna,Sharmila Tagore,Dina Pathak
Aawaz,1956.0,146.0,Romance,5.1,7.0,Zia Sarhadi,Nalini Jaywant,Nasir Hussain,Usha Kiran
Aaya Toofan,1964.0,128.0,"Action, Adventure, Fantasy",6.1,14.0,Mohammed Hussain,Kedar Kapoor,Dara Singh,Helen
